20,6,24,6,39,SHIBUSD
20,6,24,6,39,ADAUSD
20,6,24,6,39,ONDOUSD
20,6,24,6,39,RENDERUSD
20,6,24,6,39,OMUSD
20,6,24,6,39,SOLUSD
13,11,23,19,17,KASUSD
13,11,23,19,17,BATUSD
13,11,23,19,17,DOGEUSD
14,5,2,50,18,RUNEUSD
14,5,2,50,18,XRPUSD
14,5,2,50,18,SUIUSD
14,5,2,50,18,LINKUSD
14,5,2,50,18,LTCUSD
14,5,2,50,18,BCHUSDT.P
14,5,2,50,18,ETHUSD
10,10,17,14,16,TOSHI3USD
10,10,17,14,16,POPCAT2USD
10,10,17,14,16,GLMUSD
10,10,17,14,16,XLMUSD
10,10,17,14,16,JUPIUSD
10,10,17,14,16,AUCTIONUSD
10,10,17,14,16,BNBUSD
14,9,22,13,36,VTHOUSD
14,9,22,13,36,BTCUSD
